Wall time,Step,Value
1521229671.249001,3907,1.3938158750534058
1521230136.0019224,7814,0.9653433561325073
1521230603.311577,11721,0.9849632382392883
1521231067.8400717,15628,0.8521060943603516
1521231532.7269275,19535,0.8412801027297974
1521231996.1117432,23442,0.8878520727157593
1521232461.189681,27349,1.0332798957824707
1521232926.6586149,31256,0.8752433657646179
1521233391.5177283,35163,0.8008226752281189
1521233856.7891579,39070,0.773155689239502
1521234321.5210257,42977,0.714230477809906
1521234787.597678,46884,0.7137060761451721
1521235253.515192,50791,0.7340819239616394
1521235720.0762386,54698,0.7294926047325134
1521236185.4615977,58605,0.7273665070533752
1521236651.2830925,62512,0.7264222502708435
1521237118.634563,66419,0.7268047332763672
1521237584.6748786,70326,0.7276153564453125
1521238049.8851402,74233,0.727408230304718
1521238517.2700624,78140,0.7279410362243652
1521238982.3142653,82047,0.7279824018478394
1521239448.1760466,85954,0.7278063297271729
1521239913.2418683,89861,0.7281127572059631
1521240380.8373792,93768,0.7279579639434814
1521240848.441177,97675,0.7283211946487427
