Wall time,Step,Value
1521278473.7942145,3907,1.29263174533844
1521278944.0737936,7814,1.046813726425171
1521279413.7389724,11721,0.8934131264686584
1521279882.9535298,15628,0.8760195374488831
1521280352.9979904,19535,0.8511470556259155
1521280823.2702851,23442,0.8561804890632629
1521281291.8811004,27349,0.7969294786453247
1521281761.9724627,31256,0.8935766220092773
1521282233.1310298,35163,0.9189826846122742
1521282701.055051,39070,0.8777081370353699
1521283170.343917,42977,0.727822482585907
1521283641.5677416,46884,0.7397482395172119
1521284110.2637002,50791,0.7468761205673218
1521284579.2415864,54698,0.7572255730628967
1521285049.0731375,58605,0.759485125541687
1521285518.3748393,62512,0.7512747645378113
1521285988.6126008,66419,0.752075731754303
1521286458.1162806,70326,0.7525823712348938
1521286928.0884159,74233,0.752424955368042
1521287397.3532388,78140,0.7539992332458496
1521287867.7801533,82047,0.7536152005195618
1521288337.0225847,85954,0.7535492777824402
1521288806.3074038,89861,0.7535383701324463
1521289274.4112158,93768,0.7538884878158569
1521289743.6691954,97675,0.7540032863616943
