Wall time,Step,Value
1519642286.4751546,3907,0.3407000005245209
1519642732.3137531,7814,0.40709999203681946
1519643178.8723094,11721,0.4652000069618225
1519643625.141112,15628,0.510699987411499
1519644072.1204631,19535,0.5486000180244446
1519644519.8321009,23442,0.5638999938964844
1519644966.9685652,27349,0.5763000249862671
1519645413.262355,31256,0.592199981212616
1519645861.3757336,35163,0.6265000104904175
1519646308.3110576,39070,0.6272000074386597
1519646756.1614776,42977,0.6474000215530396
1519647201.8895478,46884,0.644599974155426
1519647649.499602,50791,0.656000018119812
1519648099.1355324,54698,0.6696000099182129
1519648547.0079527,58605,0.6747000217437744
1519648994.7103431,62512,0.6924999952316284
1519649445.3670847,66419,0.6779999732971191
1519649892.2931693,70326,0.6920999884605408
1519650339.5757086,74233,0.7093999981880188
1519650786.274207,78140,0.7172999978065491
1519651234.0007582,82047,0.7246999740600586
1519651682.5275843,85954,0.7232000231742859
1519652138.507319,89861,0.7305999994277954
1519652584.4323213,93768,0.7423999905586243
1519653031.1308403,97675,0.7426000237464905
