Wall time,Step,Value
1520780053.675012,3907,0.6603000164031982
1520780529.6524446,7814,0.7023000121116638
1520781007.4971845,11721,0.7753000259399414
1520781487.4977207,15628,0.742900013923645
1520781965.5722501,19535,0.7901999950408936
1520782442.0159965,23442,0.7978000044822693
1520782917.406386,27349,0.8007000088691711
1520783392.8723814,31256,0.8118000030517578
1520783874.196303,35163,0.8165000081062317
1520784350.4946468,39070,0.8227999806404114
1520784826.4085984,42977,0.83160001039505
1520785303.8870983,46884,0.8100000023841858
1520785779.8632863,50791,0.8083999752998352
1520786256.7506475,54698,0.8205000162124634
1520786732.322958,58605,0.8165000081062317
1520787212.5486104,62512,0.8105000257492065
1520787694.490146,66419,0.8295000195503235
1520788172.7009046,70326,0.8363000154495239
1520788651.2439177,74233,0.8241999745368958
1520789127.0573068,78140,0.8330000042915344
1520789603.2724702,82047,0.8317000269889832
1520790078.922802,85954,0.8119999766349792
1520790555.1116755,89861,0.8125
1520791031.171316,93768,0.8356000185012817
1520791508.4531612,97675,0.847599983215332
