Wall time,Step,Value
1520632557.0449085,3907,0.1712000072002411
1520633021.5672204,7814,0.22460000216960907
1520633486.9959047,11721,0.25279998779296875
1520633955.471094,15628,0.2809000015258789
1520634421.5477777,19535,0.3000999987125397
1520634887.1825845,23442,0.32199999690055847
1520635352.0431898,27349,0.3353999853134155
1520635816.515508,31256,0.3483999967575073
1520636282.503507,35163,0.3573000133037567
1520636749.4104218,39070,0.3662000000476837
1520637214.8361857,42977,0.37130001187324524
1520637680.0527494,46884,0.3815000057220459
1520638146.1915386,50791,0.38760000467300415
1520638611.9748392,54698,0.3937000036239624
1520639078.651991,58605,0.4018000066280365
1520639544.1543994,62512,0.4059999883174896
1520640010.160123,66419,0.4104999899864197
1520640474.6842322,70326,0.414900004863739
1520640940.4152372,74233,0.4221000075340271
1520641405.1892006,78140,0.4239000082015991
1520641869.6148589,82047,0.4259999990463257
1520642336.6586795,85954,0.4316999912261963
1520642801.6757958,89861,0.43479999899864197
1520643265.953132,93768,0.43849998712539673
1520643730.6556573,97675,0.4422999918460846
