Wall time,Step,Value
1519394417.8691394,3907,0.6276000142097473
1519394565.980602,7814,0.782800018787384
1519394714.156237,11721,0.7495999932289124
1519394862.867729,15628,0.8158000111579895
1519395012.562188,19535,0.823199987411499
1519395164.6920156,23442,0.8342999815940857
1519395314.268895,27349,0.8546000123023987
1519395462.5267496,31256,0.8572999835014343
1519395612.4705896,35163,0.8496000170707703
1519395761.391349,39070,0.8133000135421753
1519395910.3749878,42977,0.863099992275238
1519396059.1857834,46884,0.836899995803833
1519396207.1911318,50791,0.8701000213623047
1519396355.630152,54698,0.8567000031471252
1519396504.5643158,58605,0.8555999994277954
1519396651.1605308,62512,0.8687000274658203
1519396799.6420639,66419,0.8501999974250793
1519396949.215439,70326,0.8604999780654907
1519397098.6883214,74233,0.8493000268936157
1519397247.454039,78140,0.8554999828338623
1519397398.7836597,82047,0.8550000190734863
1519397546.7656689,85954,0.8472999930381775
1519397696.1827536,89861,0.8689000010490417
1519397848.2830286,93768,0.8320000171661377
1519397998.291617,97675,0.8574000000953674
