Wall time,Step,Value
1520551820.452011,3907,0.3156000077724457
1520552280.1505523,7814,0.4075999855995178
1520552742.0297139,11721,0.4544000029563904
1520553201.1434414,15628,0.5012999773025513
1520553658.7739315,19535,0.526199996471405
1520554117.745841,23442,0.5475000143051147
1520554578.2613387,27349,0.5792999863624573
1520555039.3407214,31256,0.5982000231742859
1520555503.27615,35163,0.6189000010490417
1520555962.8165998,39070,0.6244999766349792
1520556421.2310534,42977,0.632099986076355
1520556881.3529398,46884,0.6531000137329102
1520557342.3003728,50791,0.666100025177002
1520557803.6050873,54698,0.6654000282287598
1520558264.3117204,58605,0.6879000067710876
1520558725.2138288,62512,0.6610000133514404
1520559185.2917697,66419,0.708899974822998
1520559647.9953318,70326,0.715399980545044
1520560107.6407578,74233,0.7174999713897705
1520560567.2991648,78140,0.7319999933242798
1520561026.4882474,82047,0.73580002784729
1520561486.8898575,85954,0.7285000085830688
1520561949.9048615,89861,0.7402999997138977
1520562412.499869,93768,0.7401000261306763
1520562870.294455,97675,0.7305999994277954
