Wall time,Step,Value
1521290418.801236,3907,0.6726999878883362
1521291077.497494,7814,0.7639999985694885
1521291734.7548256,11721,0.7885000109672546
1521292391.286764,15628,0.7922999858856201
1521293046.24436,19535,0.7997000217437744
1521293701.0285218,23442,0.8011999726295471
1521294352.8114958,27349,0.8027999997138977
1521295006.662791,31256,0.8259000182151794
1521295661.5477319,35163,0.808899998664856
1521296319.523702,39070,0.8377000093460083
1521296972.9992273,42977,0.84579998254776
1521297628.0652993,46884,0.8497999906539917
1521298283.258306,50791,0.8478000164031982
1521298938.1941295,54698,0.8482000231742859
1521299591.145028,58605,0.8461999893188477
1521300245.4617944,62512,0.8478999733924866
1521300900.3785412,66419,0.8478999733924866
1521301555.1850188,70326,0.8478000164031982
1521302210.2578418,74233,0.8474000096321106
1521302864.559051,78140,0.8472999930381775
1521303523.5497081,82047,0.8471999764442444
1521304176.1353784,85954,0.847100019454956
1521304830.452417,89861,0.847100019454956
1521305486.0430028,93768,0.8478999733924866
1521306139.1426888,97675,0.8475000262260437
