Wall time,Step,Value
1521241350.08696,3907,2.023594617843628
1521241819.884948,7814,1.8517913818359375
1521242289.4504397,11721,1.7688010931015015
1521242759.4316165,15628,1.7138768434524536
1521243229.7230365,19535,1.6651501655578613
1521243700.6050322,23442,1.632133960723877
1521244168.624199,27349,1.605597734451294
1521244637.6818237,31256,1.565442681312561
1521245106.9894712,35163,1.537432312965393
1521245576.5281231,39070,1.5103695392608643
1521246044.8354135,42977,1.5072365999221802
1521246513.7634218,46884,1.5030086040496826
1521246983.093635,50791,1.5004757642745972
1521247452.6847365,54698,1.498521089553833
1521247922.364704,58605,1.4954657554626465
1521248390.968069,62512,1.495347023010254
1521248860.8234823,66419,1.495064377784729
1521249330.2585874,70326,1.4945785999298096
1521249799.4510067,74233,1.4939740896224976
1521250270.6976197,78140,1.4944002628326416
1521250738.5170302,82047,1.4942420721054077
1521251206.672056,85954,1.4942559003829956
1521251675.452244,89861,1.4941399097442627
1521252146.0830958,93768,1.4939099550247192
1521252615.9221535,97675,1.4939993619918823
