Wall time,Step,Value
1521264991.7978718,3907,0.7350000143051147
1521265532.5407312,7814,0.7537000179290771
1521266073.6011224,11721,0.8129000067710876
1521266614.2492657,15628,0.8033999800682068
1521267155.0806713,19535,0.804099977016449
1521267696.8549955,23442,0.8327999711036682
1521268238.0726562,27349,0.8202999830245972
1521268779.800942,31256,0.8363000154495239
1521269320.7140687,35163,0.8730000257492065
1521269861.4393187,39070,0.8669999837875366
1521270400.8010995,42977,0.8910999894142151
1521270940.63991,46884,0.8896999955177307
1521271481.8473854,50791,0.8906999826431274
1521272023.779265,54698,0.8931999802589417
1521272563.7486596,58605,0.8914999961853027
1521273104.4408507,62512,0.8934999704360962
1521273644.397914,66419,0.8925999999046326
1521274185.7506142,70326,0.8928999900817871
1521274728.5336983,74233,0.8931000232696533
1521275271.7969754,78140,0.8939999938011169
1521275813.606187,82047,0.89410001039505
1521276355.6187537,85954,0.8934000134468079
1521276896.9785895,89861,0.8937000036239624
1521277440.370178,93768,0.8938999772071838
1521277981.7789717,97675,0.8934000134468079
