Wall time,Step,Value
1520529018.2796512,3907,0.14300000667572021
1520529471.8786156,7814,0.18369999527931213
1520529922.9058352,11721,0.2215999960899353
1520530373.7753017,15628,0.2547000050544739
1520530822.6341443,19535,0.27309998869895935
1520531272.3681312,23442,0.2840000092983246
1520531723.3134346,27349,0.2948000133037567
1520532173.4951797,31256,0.3109999895095825
1520532624.6241622,35163,0.3181999921798706
1520533075.390236,39070,0.3325999975204468
1520533529.1988347,42977,0.3416999876499176
1520533980.6492023,46884,0.34929999709129333
1520534433.5501318,50791,0.35589998960494995
1520534883.5089996,54698,0.3635999858379364
1520535333.9524074,58605,0.36800000071525574
1520535784.1143563,62512,0.3727000057697296
1520536234.9122996,66419,0.37779998779296875
1520536686.772211,70326,0.3853999972343445
1520537140.1784384,74233,0.39100000262260437
1520537591.5448499,78140,0.398499995470047
1520538042.933298,82047,0.40529999136924744
1520538492.9064605,85954,0.41190001368522644
1520538942.7676096,89861,0.41780000925064087
1520539393.062861,93768,0.4230000078678131
1520539843.1663873,97675,0.42809998989105225
