Wall time,Step,Value
1520742648.2158358,3907,0.5393999814987183
1520743197.917797,7814,0.6140000224113464
1520743748.0656216,11721,0.6534000039100647
1520744295.2979743,15628,0.694100022315979
1520744844.1812103,19535,0.7213000059127808
1520745392.3070517,23442,0.7390000224113464
1520745940.758914,27349,0.7555999755859375
1520746489.5286338,31256,0.7483000159263611
1520747038.664284,35163,0.7788000106811523
1520747586.279972,39070,0.7663000226020813
1520748136.639714,42977,0.7771000266075134
1520748685.8146548,46884,0.7940999865531921
1520749234.132517,50791,0.792900025844574
1520749782.2476234,54698,0.8032000064849854
1520750334.2389295,58605,0.7835000157356262
1520750883.6077251,62512,0.7906000018119812
1520751432.874904,66419,0.8051000237464905
1520751981.9650114,70326,0.8070999979972839
1520752532.3864555,74233,0.7965999841690063
1520753080.03987,78140,0.8105000257492065
1520753629.9953825,82047,0.8126000165939331
1520754177.8319602,85954,0.8118000030517578
1520754726.2359378,89861,0.8098000288009644
1520755273.1043744,93768,0.8115000128746033
1520755822.2744765,97675,0.8080999851226807
