Wall time,Step,Value
1521042615.7547905,3907,0.5533999800682068
1521043257.6887043,7814,0.6078000068664551
1521043915.4651499,11721,0.5723000168800354
1521044567.549428,15628,0.36739999055862427
1521045217.3459966,19535,0.5080999732017517
1521045870.580871,23442,0.7139000296592712
1521046521.7628336,27349,0.5169000029563904
1521047173.1675358,31256,0.5424000024795532
1521047826.474023,35163,0.6851999759674072
1521048480.9444737,39070,0.5730000138282776
1521049134.9539099,42977,0.6075000166893005
1521049788.2558496,46884,0.605400025844574
1521050442.5218585,50791,0.5080000162124634
1521051097.5485878,54698,0.5938000082969666
1521051750.3833854,58605,0.6650000214576721
1521052407.7645977,62512,0.5576000213623047
1521053059.0008354,66419,0.3637000024318695
1521053714.2012773,70326,0.7031000256538391
1521054364.0478117,74233,0.5702000260353088
1521055017.6121588,78140,0.4424000084400177
1521055667.3844414,82047,0.6592000126838684
1521056321.5460997,85954,0.5878000259399414
1521056972.7177377,89861,0.5090000033378601
1521057626.231294,93768,0.7179999947547913
1521058280.2600942,97675,0.6639000177383423
