Wall time,Step,Value
1521219962.2599576,3907,0.5547000169754028
1521220422.7827542,7814,0.4986000061035156
1521220883.962306,11721,0.7106000185012817
1521221348.9395864,15628,0.7088000178337097
1521221809.7550874,19535,0.6969000101089478
1521222271.2211897,23442,0.6273000240325928
1521222732.6002228,27349,0.7853999733924866
1521223193.326063,31256,0.7879999876022339
1521223659.4584105,35163,0.7240999937057495
1521224120.7906833,39070,0.8320000171661377
1521224582.6478376,42977,0.8500999808311462
1521225042.8634033,46884,0.8474000096321106
1521225504.1225863,50791,0.8486999869346619
1521225965.2097242,54698,0.8507000207901001
1521226426.9071145,58605,0.8503000140190125
1521226887.7631862,62512,0.8517000079154968
1521227348.3305633,66419,0.8507999777793884
1521227809.6161857,70326,0.8513000011444092
1521228270.5807104,74233,0.8511999845504761
1521228731.4970684,78140,0.8500999808311462
