Wall time,Step,Value
1520679895.3646743,3907,0.5375999808311462
1520680370.2377543,7814,0.3732999861240387
1520680845.0878775,11721,0.6083999872207642
1520681320.3075237,15628,0.45350000262260437
1520681794.9926338,19535,0.5760999917984009
1520682267.3850617,23442,0.3562000095844269
1520682747.8178358,27349,0.48179998993873596
1520683224.9985785,31256,0.6523000001907349
1520683701.196217,35163,0.482699990272522
1520684179.423462,39070,0.3490000069141388
1520684655.8483098,42977,0.25029999017715454
1520685132.5994737,46884,0.34700000286102295
1520685609.9537718,50791,0.17739999294281006
1520686088.2874923,54698,0.46299999952316284
1520686564.7881896,58605,0.444599986076355
1520687043.8539188,62512,0.42590001225471497
1520687525.295236,66419,0.42890000343322754
1520688006.8493593,70326,0.4375
1520688486.566671,74233,0.6190000176429749
1520688968.1871102,78140,0.5914999842643738
1520689446.3467996,82047,0.4634000062942505
1520689925.0838327,85954,0.44369998574256897
1520690403.1565428,89861,0.5494999885559082
1520690878.5752904,93768,0.41350001096725464
1520691353.6766696,97675,0.6266999840736389
