Wall time,Step,Value
1520655656.7421355,1,2.556917190551758
1520655668.9264693,101,2.6141369342803955
1520655680.4396062,201,2.617029905319214
1520655691.9491904,301,2.627798557281494
1520655703.678496,401,2.681105613708496
1520655715.195482,501,2.621506690979004
1520655726.698657,601,2.694833755493164
1520655738.205628,701,2.6813998222351074
1520655749.8300128,801,2.5782296657562256
1520655761.3311362,901,2.6458370685577393
1520655772.8514433,1001,2.583219289779663
1520655784.3567054,1101,2.579089641571045
1520655796.0431345,1201,2.5731468200683594
1520655807.5620492,1301,2.604172468185425
1520655819.067991,1401,2.514782667160034
1520655830.569404,1501,2.6103320121765137
1520655842.1805882,1601,2.577059268951416
1520655853.677348,1701,2.639187812805176
1520655865.1675692,1801,2.644904613494873
1520655876.6668775,1901,2.5241451263427734
1520655888.3477945,2001,2.618650436401367
1520655899.8600965,2101,2.584360122680664
1520655911.3853447,2201,2.6489031314849854
1520655922.9032507,2301,2.5632524490356445
1520655934.5308208,2401,2.5595366954803467
1520655946.0495124,2501,2.6945607662200928
1520655957.5602953,2601,2.5512759685516357
1520655969.07982,2701,2.600053071975708
1520655980.8207185,2801,2.5450363159179688
1520655992.3359938,2901,2.5758187770843506
1520656003.845416,3001,2.4834179878234863
1520656015.35276,3101,2.5831007957458496
1520656027.0948532,3201,2.5460236072540283
1520656038.6108048,3301,2.588625192642212
1520656050.1227899,3401,2.550981283187866
1520656061.6160817,3501,2.60970401763916
1520656073.3010893,3601,2.584751844406128
1520656084.860067,3701,2.5490596294403076
1520656096.385022,3801,2.522123336791992
1520656107.9070168,3901,2.59749698638916
1520656130.0522554,3908,2.567502737045288
1520656142.2262678,4008,2.5938854217529297
1520656153.7798352,4108,2.517632484436035
1520656165.3161616,4208,2.5774173736572266
1520656177.0007424,4308,2.4983949661254883
1520656188.550724,4408,2.505699396133423
1520656200.0935397,4508,2.513831377029419
1520656211.6511264,4608,2.532548189163208
1520656223.2537436,4708,2.5054619312286377
1520656234.7740958,4808,2.5612783432006836
1520656246.3064332,4908,2.5869555473327637
1520656257.8511364,5008,2.480907917022705
1520656269.5706959,5108,2.5384297370910645
1520656281.3121257,5208,2.496659994125366
1520656292.846003,5308,2.472294330596924
1520656304.383867,5408,2.533245086669922
1520656316.1028416,5508,2.581951141357422
1520656327.6243365,5608,2.474729061126709
1520656339.1577687,5708,2.570655345916748
1520656350.709256,5808,2.4742794036865234
1520656362.3305533,5908,2.5585520267486572
1520656373.8336468,6008,2.522791624069214
1520656385.3528774,6108,2.502168655395508
1520656396.8848388,6208,2.467334508895874
1520656408.5779777,6308,2.4213292598724365
1520656420.1164658,6408,2.4789626598358154
1520656431.645401,6508,2.5486044883728027
1520656443.1738925,6608,2.4957985877990723
1520656454.874873,6708,2.454298257827759
1520656466.4132974,6808,2.484682083129883
1520656477.9247365,6908,2.5278971195220947
1520656489.4248214,7008,2.4580492973327637
1520656501.0511954,7108,2.470688819885254
1520656512.591773,7208,2.4667930603027344
1520656524.1595752,7308,2.5128066539764404
1520656535.7115562,7408,2.501051187515259
1520656547.355528,7508,2.437011241912842
1520656558.8859427,7608,2.4732019901275635
1520656570.4347825,7708,2.459327459335327
1520656581.9798331,7808,2.491551399230957
1520656605.4579382,7815,2.4577295780181885
1520656617.6820219,7915,2.4472105503082275
1520656629.2076802,8015,2.47880220413208
1520656640.719144,8115,2.426560401916504
1520656652.3884022,8215,2.4177310466766357
1520656663.8802497,8315,2.392620801925659
1520656675.397856,8415,2.4265670776367188
1520656686.9027507,8515,2.498974323272705
1520656698.5782547,8615,2.432220220565796
1520656710.0753295,8715,2.4243381023406982
1520656721.601922,8815,2.5188207626342773
1520656733.1207628,8915,2.443098783493042
1520656744.7725692,9015,2.464184045791626
1520656756.2899456,9115,2.402130365371704
1520656767.8058624,9215,2.4658124446868896
1520656779.316561,9315,2.4174301624298096
1520656790.9586232,9415,2.391448497772217
1520656802.4790645,9515,2.453237295150757
1520656814.03886,9615,2.4442617893218994
1520656825.5540037,9715,2.3557183742523193
