Wall time,Step,Value
1520808686.83902,3907,0.7414000034332275
1520809342.1688633,7814,0.7918999791145325
1520809997.6374018,11721,0.7753000259399414
1520810655.5348835,15628,0.8223000168800354
1520811311.3804712,19535,0.8303999900817871
1520811966.349406,23442,0.859499990940094
1520812625.779531,27349,0.8371999859809875
1520813282.2248979,31256,0.8639000058174133
1520813937.617661,35163,0.8485000133514404
1520814594.3835354,39070,0.8388000130653381
1520815248.6259089,42977,0.829800009727478
1520815905.976816,46884,0.8564000129699707
1520816562.2898233,50791,0.8179000020027161
1520817219.7046819,54698,0.8464000225067139
1520817875.5402668,58605,0.8396999835968018
1520818531.275823,62512,0.8299000263214111
1520819186.9549491,66419,0.8475000262260437
1520819843.17994,70326,0.8571000099182129
1520820501.7711928,74233,0.8391000032424927
1520821159.614405,78140,0.8052999973297119
1520821817.9685764,82047,0.8190000057220459
1520822474.2305512,85954,0.8565999865531921
1520823126.4703572,89861,0.7804999947547913
1520823783.2674115,93768,0.8492000102996826
1520824441.6631956,97675,0.8269000053405762
