Wall time,Step,Value
1520644220.2461624,3907,2.001387596130371
1520644695.1537504,7814,1.876245379447937
1520645168.4527705,11721,1.7977057695388794
1520645641.7411335,15628,1.7309433221817017
1520646114.5481763,19535,1.6899068355560303
1520646587.276756,23442,1.6376062631607056
1520647063.229932,27349,1.6075483560562134
1520647537.4835725,31256,1.5853216648101807
1520648015.293,35163,1.5474069118499756
1520648489.1992974,39070,1.5250428915023804
1520648964.1988015,42977,1.5016534328460693
1520649437.9623203,46884,1.475524663925171
1520649912.7526107,50791,1.4463422298431396
1520650389.7357528,54698,1.4254077672958374
1520650865.4626765,58605,1.4017752408981323
1520651341.9518833,62512,1.3814609050750732
1520651815.0331614,66419,1.3602957725524902
1520652289.3503356,70326,1.3486402034759521
1520652764.6703918,74233,1.320470929145813
1520653239.0160067,78140,1.305248737335205
1520653711.734408,82047,1.2967979907989502
1520654185.410365,85954,1.2686518430709839
1520654659.6647265,89861,1.2652325630187988
1520655133.8464015,93768,1.251264214515686
1520655604.089985,97675,1.2273517847061157
