Wall time,Step,Value
1521289788.5877128,1,2.5762758255004883
1521289808.4229162,101,1.867976427078247
1521289824.179919,201,1.7706998586654663
1521289839.8926275,301,1.7221635580062866
1521289855.8002098,401,1.6460624933242798
1521289871.5521398,501,1.4580473899841309
1521289887.6644797,601,1.4991893768310547
1521289903.4869268,701,1.4304072856903076
1521289919.5312893,801,1.6039605140686035
1521289935.348136,901,1.3352196216583252
1521289951.119681,1001,1.3927726745605469
1521289966.8789816,1101,1.2839964628219604
1521289982.7786415,1201,1.3540980815887451
1521289998.4998791,1301,1.2858555316925049
1521290014.2599416,1401,1.3420181274414062
1521290030.0046499,1501,1.1089823246002197
1521290045.9755173,1601,1.2564090490341187
1521290061.7925851,1701,1.194040298461914
1521290077.6379786,1801,1.2136719226837158
1521290093.4013317,1901,1.1619189977645874
1521290109.336274,2001,1.154610276222229
1521290125.0013585,2101,1.2696815729141235
1521290140.8110063,2201,1.3015005588531494
1521290156.5642214,2301,1.188039779663086
1521290172.502827,2401,1.1967098712921143
1521290188.2500632,2501,1.2175617218017578
1521290204.0069466,2601,1.1785765886306763
1521290219.800316,2701,1.0330039262771606
1521290235.7349489,2801,1.0993800163269043
1521290251.5319333,2901,1.1940466165542603
1521290267.3562465,3001,1.0491249561309814
1521290283.2036855,3101,1.0276081562042236
1521290299.1538515,3201,1.008259654045105
1521290315.028217,3301,1.058756709098816
1521290330.867732,3401,1.0032050609588623
1521290346.6450293,3501,1.1165715456008911
1521290362.606431,3601,0.9204816818237305
1521290378.4043438,3701,0.9321199059486389
1521290394.2511487,3801,0.945773720741272
1521290410.1128614,3901,1.0496680736541748
1521290445.3296082,3908,0.9172415733337402
1521290465.38505,4008,1.040968656539917
1521290481.2255812,4108,1.010501742362976
1521290497.0149238,4208,1.0163273811340332
1521290513.049522,4308,0.7956929206848145
1521290528.8890219,4408,0.854385495185852
1521290544.703141,4508,0.9715325236320496
1521290560.4582248,4608,1.0727277994155884
1521290576.4111893,4708,0.974393904209137
1521290592.2431786,4808,0.8485395908355713
1521290608.0664349,4908,0.9777816534042358
1521290623.9086263,5008,0.7232070565223694
1521290639.910409,5108,0.7169487476348877
1521290656.1880336,5208,0.8485579490661621
1521290672.0443554,5308,0.8773776292800903
1521290687.794951,5408,0.8943073749542236
1521290703.8208027,5508,0.9266993403434753
1521290719.6906943,5608,1.0410133600234985
1521290735.4593983,5708,0.8993070721626282
1521290751.277316,5808,0.7567906379699707
1521290767.274441,5908,0.8051299452781677
1521290783.1264021,6008,0.9502002000808716
1521290798.9404302,6108,0.8104286193847656
1521290814.7758393,6208,0.8052644729614258
1521290830.7838924,6308,0.7756333351135254
1521290846.5522885,6408,0.8597539663314819
1521290862.4186795,6508,0.7919681072235107
1521290878.2143552,6608,1.0214686393737793
1521290894.2494152,6708,0.661956787109375
1521290910.143336,6808,0.8053191304206848
1521290925.9721613,6908,0.8462473154067993
1521290941.8147569,7008,0.8363415598869324
1521290957.8079274,7108,0.8328624367713928
1521290973.603163,7208,0.7395421266555786
1521290989.4928107,7308,0.852679967880249
1521291005.3899922,7408,0.7407017350196838
1521291021.3653216,7508,0.644457221031189
1521291037.178982,7608,0.6743963956832886
1521291053.0345263,7708,0.7007233500480652
1521291068.8707976,7808,0.7539712190628052
1521291103.747009,7815,0.7168174982070923
1521291123.534937,7915,0.7038862705230713
1521291139.2514107,8015,1.0013792514801025
1521291154.9602315,8115,0.6929327249526978
